2007,Actor -- Leading Role,Viggo Mortensen,Eastern Promises {'Nikolai'},NO
2007,Actor -- Supporting Role,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford {'Robert Ford'},NO
2007,Actor -- Supporting Role,Javier Bardem,No Country for Old Men {'Anton Chigurh'},YES
2007,Actor -- Supporting Role,Philip Seymour Hoffman,Charlie Wilson's War {'Gust Avrakotos'},NO
2007,Actor -- Supporting Role,Hal Holbrook,Into the Wild {'Ron Franz'},NO
2007,Actor -- Supporting Role,Tom Wilkinson,Michael Clayton {'Arthur Edens'},NO
2007,Actress -- Leading Role,Cate Blanchett,Elizabeth: The Golden Age {'Queen Elizabeth I'},NO
2007,Actress -- Leading Role,Julie Christie,Away from Her {'Fiona'},NO
2007,Actress -- Leading Role,Marion Cotillard,La Vie en Rose {'Edith Piaf'},YES
2007,Actress -- Leading Role,Laura Linney,The Savages {'Wendy Savage'},NO
2007,Actress -- Leading Role,Ellen Page,Juno {'Juno MacGuff'},NO
2007,Actress -- Supporting Role,Cate Blanchett,I'm Not There {'Jude'},NO
2007,Actress -- Supporting Role,Ruby Dee,American Gangster {'Mama Lucas'},NO
2007,Actress -- Supporting Role,Saoirse Ronan,"Atonement {'Briony Tallis, aged 13'}",NO
2007,Actress -- Supporting Role,Amy Ryan,Gone Baby Gone {'Helene McCready'},NO
2007,Actress -- Supporting Role,Tilda Swinton,Michael Clayton {'Karen Crowder'},YES
2006,Actor -- Leading Role,Leonardo DiCaprio,Blood Diamond {'Danny Archer'},NO
2006,Actor -- Leading Role,Ryan Gosling,Half Nelson {'Dan Dunne'},NO
2006,Actor -- Leading Role,Peter O'Toole,Venus {'Maurice'},NO
2006,Actor -- Leading Role,Will Smith,The Pursuit of Happyness {'Chris Gardner'},NO
2006,Actor -- Leading Role,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES
2006,Actor -- Supporting Role,Alan Arkin,Little Miss Sunshine {'Grandpa'},YES
2006,Actor -- Supporting Role,Jackie Earle Haley,Little Children {'Ronnie J. McGorvey'},NO
2006,Actor -- Supporting Role,Djimon Hounsou,Blood Diamond {'Solomon Vandy'},NO
